Variable,Frecuencia
Game-based learning,44
Gamification,27
Collaborative learning,24
Project-based learning,24
Problem-based learning,16
Flipped classroom,9
Cooperative learning,6
Personalized learning,5
Technology-enhanced learning,4
Inquiry-based learning,3
Design-based learning,1
Construct-by-self mind mapping,1
Construct-on-scaffold mind mapping,1
Reverse engineering pedagogy,1
